RESULTADOS - Estrategia de Probabilidad Dinámica
==================================================

Capital inicial: $1,000.00
Capital final: $4,780,101.02
Retorno total: 477910.10%
Retorno mensual estimado: 477910.10%
Total trades: 294
Win rate: 40.14%
Máximo drawdown: 50.54%

Distribución por tipo de señal:
Tipo D: 91 trades | 39.6% win rate | 8944.20% avg PnL
Tipo B: 34 trades | 41.2% win rate | 9370.29% avg PnL
Tipo C: 35 trades | 40.0% win rate | 9126.17% avg PnL
Tipo A: 134 trades | 40.3% win rate | 8978.57% avg PnL

Objetivo 10% mensual: ALCANZADO
Objetivo 15% mensual: ALCANZADO
Superación del objetivo: 47791.0x

==================================================
DETALLE DE TRADES:
==================================================
  1. BTC-USD | Tipo D | Entry: $47842.77 | Exit: $3061.94 | PnL: -93.60% | Razón: SL
248. BNB-USD | Tipo D | Entry: $424.09 | Exit: $1.27 | PnL: -99.70% | Razón: SL
249. ADA-USD | Tipo D | Entry: $1.27 | Exit: $159.03 | PnL: 12400.00% | Razón: TP
250. SOL-USD | Tipo D | Entry: $159.03 | Exit: $53161.73 | PnL: 33327.98% | Razón: TP
251. BTC-USD | Tipo D | Entry: $53161.73 | Exit: $3402.35 | PnL: -93.60% | Razón: SL
252. ETH-USD | Tipo D | Entry: $3402.35 | Exit: $425.29 | PnL: -87.50% | Razón: SL
253. BNB-USD | Tipo D | Entry: $425.29 | Exit: $1.28 | PnL: -99.70% | Razón: SL
254. ADA-USD | Tipo D | Entry: $1.28 | Exit: $159.49 | PnL: 12400.00% | Razón: TP
255. SOL-USD | Tipo D | Entry: $159.49 | Exit: $52865.62 | PnL: 33047.67% | Razón: TP
256. BTC-USD | Tipo A | Entry: $53274.23 | Exit: $3409.55 | PnL: -93.60% | Razón: SL
257. ETH-USD | Tipo A | Entry: $3409.55 | Exit: $426.19 | PnL: -87.50% | Razón: SL
258. BNB-USD | Tipo A | Entry: $426.19 | Exit: $1.28 | PnL: -99.70% | Razón: SL
259. ADA-USD | Tipo A | Entry: $1.28 | Exit: $159.82 | PnL: 12400.00% | Razón: TP
260. SOL-USD | Tipo A | Entry: $159.82 | Exit: $53546.74 | PnL: 33403.84% | Razón: TP
261. BTC-USD | Tipo B | Entry: $50614.17 | Exit: $3239.31 | PnL: -93.60% | Razón: SL
262. BNB-USD | Tipo B | Entry: $404.91 | Exit: $1.21 | PnL: -99.70% | Razón: SL
263. ADA-USD | Tipo B | Entry: $1.21 | Exit: $151.84 | PnL: 12400.00% | Razón: TP
264. SOL-USD | Tipo B | Entry: $151.84 | Exit: $51210.51 | PnL: 33626.07% | Razón: TP
265. BTC-USD | Tipo D | Entry: $51390.02 | Exit: $3288.96 | PnL: -93.60% | Razón: SL
266. ETH-USD | Tipo D | Entry: $3288.96 | Exit: $411.12 | PnL: -87.50% | Razón: SL
267. BNB-USD | Tipo D | Entry: $411.12 | Exit: $1.23 | PnL: -99.70% | Razón: SL
268. ADA-USD | Tipo D | Entry: $1.23 | Exit: $154.17 | PnL: 12400.00% | Razón: TP
269. SOL-USD | Tipo D | Entry: $154.17 | Exit: $50386.12 | PnL: 32582.17% | Razón: TP
270. BTC-USD | Tipo A | Entry: $50709.16 | Exit: $3245.39 | PnL: -93.60% | Razón: SL
271. ETH-USD | Tipo A | Entry: $3245.39 | Exit: $405.67 | PnL: -87.50% | Razón: SL
272. ADA-USD | Tipo A | Entry: $1.22 | Exit: $152.13 | PnL: 12400.00% | Razón: TP
273. SOL-USD | Tipo A | Entry: $152.13 | Exit: $50041.37 | PnL: 32794.37% | Razón: TP
274. BTC-USD | Tipo B | Entry: $50041.37 | Exit: $3202.65 | PnL: -93.60% | Razón: SL
275. ETH-USD | Tipo B | Entry: $3202.65 | Exit: $400.33 | PnL: -87.50% | Razón: SL
276. BNB-USD | Tipo B | Entry: $400.33 | Exit: $1.20 | PnL: -99.70% | Razón: SL
277. ADA-USD | Tipo B | Entry: $1.20 | Exit: $150.12 | PnL: 12400.00% | Razón: TP
278. SOL-USD | Tipo B | Entry: $150.12 | Exit: $50099.36 | PnL: 33271.96% | Razón: TP
279. BTC-USD | Tipo D | Entry: $49823.75 | Exit: $3188.72 | PnL: -93.60% | Razón: SL
280. ETH-USD | Tipo D | Entry: $3188.72 | Exit: $398.59 | PnL: -87.50% | Razón: SL
281. BNB-USD | Tipo D | Entry: $398.59 | Exit: $1.20 | PnL: -99.70% | Razón: SL
282. ADA-USD | Tipo D | Entry: $1.20 | Exit: $149.47 | PnL: 12400.00% | Razón: TP
283. SOL-USD | Tipo D | Entry: $149.47 | Exit: $50158.32 | PnL: 33457.17% | Razón: TP
284. BTC-USD | Tipo A | Entry: $55258.70 | Exit: $3536.56 | PnL: -93.60% | Razón: SL
285. ADA-USD | Tipo A | Entry: $1.33 | Exit: $165.78 | PnL: 12400.00% | Razón: TP
286. SOL-USD | Tipo A | Entry: $165.78 | Exit: $55865.14 | PnL: 33599.16% | Razón: TP
287. BTC-USD | Tipo A | Entry: $55936.29 | Exit: $3579.92 | PnL: -93.60% | Razón: SL
288. ETH-USD | Tipo A | Entry: $3579.92 | Exit: $447.49 | PnL: -87.50% | Razón: SL
289. BNB-USD | Tipo A | Entry: $447.49 | Exit: $1.34 | PnL: -99.70% | Razón: SL
290. ADA-USD | Tipo A | Entry: $1.34 | Exit: $167.81 | PnL: 12400.00% | Razón: TP
291. BTC-USD | Tipo D | Entry: $54507.70 | Exit: $3488.49 | PnL: -93.60% | Razón: SL
292. ETH-USD | Tipo D | Entry: $3488.49 | Exit: $436.06 | PnL: -87.50% | Razón: SL
293. BNB-USD | Tipo D | Entry: $436.06 | Exit: $1.31 | PnL: -99.70% | Razón: SL
294. SOL-USD | Tipo D | Entry: $163.52 | Exit: $149.50 | PnL: -8.58% | Razón: END
